tag,question_id,title,view_count,tags,creation_timestamp,creation_date,question_view_count_rank,total_valid_questions,tag_offset
android-layout,18051472,How to center the content inside a linear layout?,259663,android|android-layout|android-linearlayout,2013-08-05 05:59:24.900,1375682364900000,31,22031,0
android-layout,4641072,How to set layout_weight attribute dynamically from code?,254535,android|android-layout|android-layout-weight,2011-01-09 18:55:00.623,1294599300623000,32,22031,0
android-layout,1964789,Move layouts up when soft keyboard is shown?,244165,android|user-interface|android-layout|android-keypad,2009-12-27 00:40:30.563,1261874430563000,33,22031,0
android-layout,4984313,How to set space between listView Items in Android,242690,android|android-layout|android-listview,2011-02-13 13:10:31.753,1297602631753000,34,22031,0
android-layout,16411056,How to adjust layout when soft keyboard appears,234587,android|android-layout|android-softkeyboard,2013-05-07 04:08:21.857,1367899701857000,35,22031,0
android-layout,2644134,Android: How to create a Dialog without a title?,223670,android|android-layout|dialog,2010-04-15 09:33:37.957,1271324017957000,36,22031,0
android-layout,15111402,How can I create a border around an Android LinearLayout?,217009,android|android-layout|android-linearlayout,2013-02-27 11:50:26.833,1361965826833000,37,22031,0
android-layout,4755871,How to set image button backgroundimage for different state?,212286,android|android-layout,2011-01-21 06:02:22.077,1295589742077000,38,22031,0
android-layout,20185340,How to align linearlayout to vertical center?,203304,android|android-layout,2013-11-25 05:25:47.663,1385357147663000,39,22031,0
android-layout,1914477,How do I remove lines between ListViews on Android?,200957,android|android-layout|listview,2009-12-16 12:49:33.660,1260967773660000,40,22031,0
android-layout,6557220,Defining a percentage width for a LinearLayout?,195125,android|android-layout,2011-07-02 13:15:22.097,1309612522097000,41,22031,0
android-layout,26969424,How to set Toolbar text and back arrow color,194957,android|android-layout|toolbar|android-theme|android-styles,2014-11-17 09:28:49.487,1416216529487000,42,22031,0
android-layout,32860815,How to define dimens.xml for every different screen size in android?,193987,android|android-layout|android-activity|android-screen-support,2015-09-30 07:57:20.570,1443599840570000,43,22031,0
android-layout,27203817,RecyclerView expand/collapse items,192906,android|android-layout|android-recyclerview|expand,2014-11-29 15:23:25.410,1417274605410000,44,22031,0
android-layout,4396376,How to get EditText value and display it on screen through TextView?,191807,android|android-layout|textview,2010-12-09 08:53:50.063,1291884830063000,45,22031,0
android-layout,7452741,"What is android:weightSum in android, and how does it work?",188840,android|android-layout|android-layout-weight,2011-09-17 05:48:21.223,1316238501223000,46,22031,0
android-layout,4858026,Android: alternate layout xml for landscape mode,184474,android|layout|resources|android-layout|orientation,2011-02-01 01:32:27.720,1296523947720000,47,22031,0
android-layout,6698927,Border in shape XML,181678,android|android-layout|border|shapes|stroke,2011-07-14 19:33:39.947,1310672019947000,48,22031,0
android-layout,8384067,How to dismiss the dialog with click on outside of the dialog?,173552,android|android-layout|android-emulator|dialog|android-dialog,2011-12-05 10:42:08.513,1323081728513000,49,22031,0
android-layout,15128652,How to add (vertical) divider to a horizontal LinearLayout?,168631,android|android-layout|android-linearlayout|divider,2013-02-28 06:08:16.003,1362031696003000,50,22031,0
android-activity,2091465,How do I pass data between Activities in Android application?,1178135,android|android-intent|android-activity,2010-01-19 06:06:36.073,1263881196073000,1,10356,1
android-activity,4186021,How to start new activity on button click,1001824,android|android-intent|android-activity|android-button|android-lifecycle,2010-11-15 15:43:36.590,1289835816590000,2,10356,1
android-activity,151777,How can I save an activity state using the save instance state?,879845,android|android-activity|application-state,2008-09-30 04:41:15.340,1222749675340000,3,10356,1
android-activity,2736389,How to pass an object from one activity to another on Android,820471,java|android|object|android-intent|android-activity,2010-04-29 10:06:52.730,1272535612730000,4,10356,1
android-activity,1555109,How to stop EditText from gaining focus when an activity starts in Android?,807473,android|listview|android-activity|android-edittext|focus,2009-10-12 15:03:22.700,1255359802700000,5,10356,1
android-activity,4038479,Android: Go back to previous activity,727437,android|android-intent|android-activity,2010-10-27 23:13:54.750,1288221234750000,6,10356,1
android-activity,2139134,How to send an object from one Android Activity to another using Intents?,679353,android|android-intent|android-activity,2010-01-26 11:52:01.567,1264506721567000,7,10356,1
android-activity,3631982,Change application's starting activity,661220,android|android-activity,2010-09-02 23:15:00.983,1283469300983000,8,10356,1
android-activity,2868047,Fullscreen Activity in Android?,651101,android|android-activity|fullscreen|android-fullscreen,2010-05-19 17:54:15.710,1274291655710000,9,10356,1
android-activity,4486034,Get root view from current activity,627175,android|android-activity|view,2010-12-20 00:40:33.510,1292805633510000,10,10356,1
android-activity,2176922,How do I create a transparent Activity on Android?,489413,android|android-activity|transparent,2010-02-01 13:28:02.957,1265030882957000,11,10356,1
android-activity,6147884,onActivityResult is not being called in Fragment,484921,android|android-fragments|android-activity,2011-05-27 04:35:19.070,1306470919070000,12,10356,1
android-activity,456211,Activity restart on rotation Android,403932,android|rotation|android-activity,2009-01-19 00:28:29.657,1232324909657000,13,10356,1
android-activity,11411395,How to get current foreground activity context in android?,375132,android|android-activity,2012-07-10 10:30:01.730,1341916201730000,14,10356,1
android-activity,13194081,How to open a second activity on click of button in android app,367926,android|android-intent|android-activity,2012-11-02 11:12:02.873,1351854722873000,15,10356,1
android-activity,1397361,How to restart Activity in Android,360057,android|android-activity,2009-09-09 03:12:37.970,1252465957970000,16,10356,1
android-activity,2198410,How to change title of Activity in Android?,353154,android|android-activity,2010-02-04 09:06:21.710,1265274381710000,17,10356,1
android-activity,3918517,Calling startActivity() from outside of an Activity context,320046,android|android-activity|android-context,2010-10-12 20:00:23.463,1286913623463000,18,10356,1
android-activity,5446565,Android: how do I check if activity is running?,315148,android|android-activity,2011-03-27 01:21:17.033,1301188877033000,19,10356,1
android-activity,2257963,How to show a dialog to confirm that the user wishes to exit an Android Activity?,311375,android|android-activity|android-dialog|activity-finish,2010-02-13 15:01:58.743,1266073318743000,20,10356,1
android-activity,3873659,Android: How can I get the current foreground activity (from a service)?,307797,android|service|android-activity,2010-10-06 14:39:10.057,1286375950057000,21,10356,1
android-activity,17719634,How to exit an Android app programmatically?,302582,java|android|eclipse|android-activity,2013-07-18 09:30:13.273,1374139813273000,22,10356,1
android-activity,62671106,"OnActivityResult method is deprecated, what is the alternative?",299718,android|android-fragments|android-activity|onactivityresult,2020-07-01 06:46:24.753,1593585984753000,23,10356,1
android-activity,5794506,Android: Clear the back stack,294060,android|android-intent|android-activity|stack,2011-04-26 18:03:11.967,1303840991967000,24,10356,1
android-activity,1979369,Android Activity as a dialog,279873,android|android-activity|android-dialog,2009-12-30 10:03:11.977,1262167391977000,25,10356,1
android-activity,4761686,How to set background color of an Activity to white programmatically?,278483,java|android|android-activity|colors,2011-01-21 17:13:17.477,1295629997477000,26,10356,1
android-activity,3389501,Activity transition in Android,266654,android|android-activity|transition,2010-08-02 16:03:20.983,1280765000983000,27,10356,1
android-activity,3913592,Start an Activity with a parameter,265871,android|android-activity|oncreate,2010-10-12 10:19:11.943,1286878751943000,28,10356,1
android-activity,3606596,Start Activity from Service in Android,251875,android|android-intent|android-activity|android-service,2010-08-31 06:44:26.927,1283237066927000,29,10356,1
android-activity,19451715,Same Navigation Drawer in different Activities,246480,android|android-activity|navigation|navigation-drawer|drawer,2013-10-18 14:07:15.087,1382105235087000,30,10356,1
android-activity,1111980,How to handle screen orientation change when progress dialog and background thread active?,243427,android|android-activity|android-dialog,2009-07-10 21:05:09.387,1247259909387000,31,10356,1
android-activity,1898886,Removing an activity from the history stack,230240,android|android-activity|activity-lifecycle,2009-12-14 04:15:45.433,1260764145433000,32,10356,1
android-activity,20306091,Dilemma: when to use Fragments vs Activities:,228389,android|android-fragments|android-activity|architecture,2013-11-30 21:53:00.180,1385848380180000,33,10356,1
android-activity,31297246,"Activity, AppCompatActivity, FragmentActivity, and ActionBarActivity: When to Use Which?",224406,android|android-fragments|android-activity|android-actionbaractivity|appcompatactivity,2015-07-08 15:32:32.543,1436369552543000,34,10356,1
android-activity,12102777,Prevent Android activity dialog from closing on outside touch,205746,java|android|android-activity|dialog|touch,2012-08-24 03:29:39.803,1345778979803000,35,10356,1
android-activity,21295328,Android ListView with onClick items,201228,android|listview|methods|android-activity|elements,2014-01-22 22:26:29.843,1390429589843000,36,10356,1
android-activity,4342761,How do you use Intent.FLAG_ACTIVITY_CLEAR_TOP to clear the Activity Stack?,200223,java|android|android-intent|android-activity|android-manifest,2010-12-03 05:32:52.150,1291354372150000,37,10356,1
android-activity,32860815,How to define dimens.xml for every different screen size in android?,193987,android|android-layout|android-activity|android-screen-support,2015-09-30 07:57:20.570,1443599840570000,38,10356,1
android-activity,17436298,"How to pass a variable from Activity to Fragment, and pass it back?",173145,android|android-fragments|android-activity,2013-07-02 21:42:13.450,1372801333450000,39,10356,1
android-activity,2906925,How do I pass an object from one activity to another on Android?,167340,android|object|android-activity,2010-05-25 17:29:05.243,1274808545243000,40,10356,1
android-activity,2337874,Best way to add Activity to an Android project in Eclipse?,166602,android|eclipse|ide|android-activity,2010-02-25 21:43:47.163,1267134227163000,41,10356,1
android-activity,20264268,How do I get the height and width of the Android Navigation Bar programmatically?,162412,android|user-interface|graphics|android-activity,2013-11-28 10:59:52.537,1385636392537000,42,10356,1
android-activity,10379134,Finish an activity from another activity,162203,android|android-intent|android-activity,2012-04-30 05:59:38.007,1335765578007000,43,10356,1
android-activity,6121797,android: how to change layout on button click?,161331,java|android|android-intent|android-activity,2011-05-25 08:50:08.107,1306313408107000,44,10356,1
android-activity,2042222,Close application and launch home screen on Android,159142,android|android-activity,2010-01-11 13:51:59.670,1263217919670000,45,10356,1
android-activity,10243557,How to apply slide animation between two activities in Android?,158457,android|android-activity|android-animation,2012-04-20 09:28:40.853,1334914120853000,46,10356,1
android-activity,14785806,Android: how to make an activity return results to the activity which calls it?,152865,android|android-activity|onactivityresult,2013-02-09 07:05:59.577,1360393559577000,47,10356,1
android-activity,18146614,How to send string from one activity to another?,151413,android|android-activity,2013-08-09 12:24:46.533,1376051086533000,48,10356,1
android-activity,3293243,Pass data from Activity to Service using an Intent,150666,android|android-intent|android-activity|service,2010-07-20 18:44:17.660,1279651457660000,49,10356,1
android-activity,14292398,How to pass data from 2nd activity to 1st activity when pressed back? - android,150473,android|android-activity|parent-child|pass-data,2013-01-12 10:24:18.663,1357986258663000,50,10356,1
android-intent,2091465,How do I pass data between Activities in Android application?,1178135,android|android-intent|android-activity,2010-01-19 06:06:36.073,1263881196073000,1,10040,2
android-intent,2201917,How can I open a URL in Android's web browser from my application?,1097670,android|url|android-intent|android-browser,2010-02-04 17:51:45.483,1265305905483000,2,10040,2
android-intent,4233873,How do I get extra data from intent on Android?,1016834,android|android-intent,2010-11-20 16:59:59.500,1290272399500000,3,10040,2
android-intent,4186021,How to start new activity on button click,1001824,android|android-intent|android-activity|android-button|android-lifecycle,2010-11-15 15:43:36.590,1289835816590000,4,10040,2
android-intent,5265913,How to use putExtra() and getExtra() for string data,899984,android|android-intent,2011-03-10 21:06:42.490,1299791202490000,5,10040,2
android-intent,11753000,How to open the Google Play Store directly from my Android application?,868588,android|android-intent|google-play,2012-08-01 05:27:10.423,1343798830423000,6,10040,2
android-intent,2736389,How to pass an object from one activity to another on Android,820471,java|android|object|android-intent|android-activity,2010-04-29 10:06:52.730,1272535612730000,7,10040,2
android-intent,4038479,Android: Go back to previous activity,727437,android|android-intent|android-activity,2010-10-27 23:13:54.750,1288221234750000,8,10040,2
android-intent,3004515,Sending an Intent to browser to open specific URL,706889,android|android-intent,2010-06-09 09:21:57.657,1276075317657000,9,10040,2
android-intent,2139134,How to send an object from one Android Activity to another using Intents?,679353,android|android-intent|android-activity,2010-01-26 11:52:01.567,1264506721567000,10,10040,2
android-intent,9294603,How do I get the currently displayed fragment?,554536,android|android-layout|android-intent|android-fragments,2012-02-15 13:49:02.730,1329313742730000,11,10040,2
android-intent,3872063,How to launch an Activity from another Application in Android,503573,java|android|kotlin|android-intent,2010-10-06 11:46:06.597,1286365566597000,12,10040,2
android-intent,8701634,Send Email Intent,457173,android|email|android-intent,2012-01-02 13:50:09.900,1325512209900000,13,10040,2
android-intent,2695746,How to get a list of installed android applications and pick one to run,440685,android|android-intent,2010-04-23 02:07:57.480,1271988477480000,14,10040,2
android-intent,13194081,How to open a second activity on click of button in android app,367926,android|android-intent|android-activity,2012-11-02 11:12:02.873,1351854722873000,15,10040,2
android-intent,2662531,Launching Google Maps Directions via an intent on Android,359859,java|android|google-maps|android-intent,2010-04-18 14:27:41.470,1271600861470000,16,10040,2
android-intent,2958701,Launch custom android application from android browser,352506,android|android-intent|intentfilter,2010-06-02 14:34:54.143,1275489294143000,17,10040,2
android-intent,5794506,Android: Clear the back stack,294060,android|android-intent|android-activity|stack,2011-04-26 18:03:11.967,1303840991967000,18,10040,2
android-intent,2780102,Open another application from your own (intent),251907,android|android-intent,2010-05-06 09:48:52.907,1273139332907000,19,10040,2
android-intent,3606596,Start Activity from Service in Android,251875,android|android-intent|android-activity|android-service,2010-08-31 06:44:26.927,1283237066927000,20,10040,2
android-intent,14685721,How can I do factory reset using adb in android?,236245,android|android-intent|android-emulator|android-widget,2013-02-04 11:21:45.023,1359976905023000,21,10040,2
android-intent,4342761,How do you use Intent.FLAG_ACTIVITY_CLEAR_TOP to clear the Activity Stack?,200223,java|android|android-intent|android-activity|android-manifest,2010-12-03 05:32:52.150,1291354372150000,22,10040,2
android-intent,2448213,How to implement my very own URI scheme on Android,192632,android|android-intent|browser|uri|intentfilter,2010-03-15 15:22:45.703,1268666565703000,23,10040,2
android-intent,1910608,Android ACTION_IMAGE_CAPTURE Intent,188557,android|android-intent|camera|return-value|android-camera-intent,2009-12-15 21:41:29.900,1260913289900000,24,10040,2
android-intent,5026349,How to open a website when a Button is clicked in Android application?,179168,android|url|button|browser|android-intent,2011-02-17 07:52:54.107,1297929174107000,25,10040,2
android-intent,11699819,How do I get the dialer to open with phone number displayed?,177410,android|android-intent|phone-number,2012-07-28 09:26:10.500,1343467570500000,26,10040,2
android-intent,15563921,"How to detect incoming calls, in an Android device?",176544,android|android-intent|android-permissions|incoming-call,2013-03-22 06:17:55.770,1363933075770000,27,10040,2
android-intent,2372248,launch sms application with an intent,176345,android|sms|android-intent,2010-03-03 14:55:51.440,1267628151440000,28,10040,2
android-intent,14333449,Passing data through intent using Serializable,166847,java|android|android-intent,2013-01-15 08:06:16.513,1358237176513000,29,10040,2
android-intent,2405120,How to start an Intent by passing some parameters to it?,165270,android|constructor|android-intent,2010-03-08 22:01:31.033,1268085691033000,30,10040,2
android-intent,10379134,Finish an activity from another activity,162203,android|android-intent|android-activity,2012-04-30 05:59:38.007,1335765578007000,31,10040,2
android-intent,6121797,android: how to change layout on button click?,161331,java|android|android-intent|android-activity,2011-05-25 08:50:08.107,1306313408107000,32,10040,2
android-intent,13601883,How to pass ArrayList of Objects from one to another activity using Intent in android?,160693,android|android-intent|parcelable,2012-11-28 09:34:00.390,1354095240390000,33,10040,2
android-intent,9467026,Changing position of the Dialog on screen android,160174,android|android-layout|android-intent|android-emulator|android-widget,2012-02-27 14:52:00.250,1330354320250000,34,10040,2
android-intent,16636752,Android button onClickListener,158780,java|android|android-intent|onclicklistener,2013-05-19 16:16:40.450,1368980200450000,35,10040,2
android-intent,17526533,Moving from one activity to another Activity in Android,157717,android|android-intent|android-emulator|android-relativelayout,2013-07-08 12:24:18.177,1373286258177000,36,10040,2
android-intent,3293243,Pass data from Activity to Service using an Intent,150666,android|android-intent|android-activity|service,2010-07-20 18:44:17.660,1279651457660000,37,10040,2
android-intent,11387740,Where/How to getIntent().getExtras() in an Android Fragment?,148706,android|android-intent|android-fragments|android-activity,2012-07-09 00:07:11.060,1341792431060000,38,10040,2
android-intent,19422075,"Open a selected file (image, pdf, ...) programmatically from my Android Application?",136021,android|image|pdf|android-intent,2013-10-17 08:49:42.340,1381999782340000,39,10040,2
android-intent,8945531,Pick any kind of file via an Intent in Android,134997,android|file|android-intent|intentfilter,2012-01-20 17:38:50.337,1327081130337000,40,10040,2
android-intent,2232238,How to bring an activity to foreground (top of stack)?,133706,android|android-intent|android-activity,2010-02-09 20:18:22.590,1265746702590000,41,10040,2
android-intent,9989130,Page scroll when soft keyboard popped up,132803,android|android-layout|android-intent|android-scrollview|android-keypad,2012-04-03 07:44:46.727,1333439086727000,42,10040,2
android-intent,3515198,Share Text on Facebook from Android App via ACTION_SEND,125493,android|facebook|android-intent|android-sharing,2010-08-18 18:10:18.017,1282155018017000,43,10040,2
android-intent,1572107,Android intent for playing video?,124855,android|video|sdk|android-intent,2009-10-15 12:39:29.023,1255610369023000,44,10040,2
android-intent,2424488,"New Intent() starts new instance with Android: launchMode=""singleTop""",122657,android|android-activity|android-intent,2010-03-11 11:28:22.960,1268306902960000,45,10040,2
android-intent,4455558,Allow user to select camera or gallery for image,120833,android|android-intent|android-camera|android-gallery|android-intent-chooser,2010-12-15 22:21:38.257,1292451698257000,46,10040,2
android-intent,19286970,Using intents to pass data between activities,120074,android|android-intent,2013-10-10 04:16:14.270,1381378574270000,47,10040,2
android-intent,32700818,How to open a Fragment on button click from a fragment in Android,116589,android|android-fragments|android-intent,2015-09-21 17:03:44.360,1442855024360000,48,10040,2
android-intent,20333186,How to Share Image + Text together using ACTION_SEND in android?,113963,android|android-intent|intentfilter|android-sharing,2013-12-02 16:35:32.310,1386002132310000,49,10040,2
android-intent,22704451,open google maps through intent for specific location in android,113292,android|google-maps|android-intent|google-maps-urls,2014-03-28 04:50:30.677,1395982230677000,50,10040,2
android-edittext,1109022,How to close/hide the Android soft keyboard programmatically?,1752733,android|android-edittext|android-softkeyboard|android-input-method|soft-keyboard,2009-07-10 11:27:17.090,1247225237090000,1,4685,3
android-edittext,1555109,How to stop EditText from gaining focus when an activity starts in Android?,807473,android|listview|android-activity|android-edittext|focus,2009-10-12 15:03:22.700,1255359802700000,2,4685,3
android-edittext,4531396,Get Value of a Edit Text field,791307,android|android-edittext,2010-12-25 19:35:51.027,1293305751027000,3,4685,3
android-edittext,2709253,Converting a string to an integer on Android,640937,java|android|string|integer|android-edittext,2010-04-25 17:57:55.373,1272218275373000,4,4685,3
android-edittext,6290531,How do I check if my EditText fields are empty?,540027,android|android-edittext,2011-06-09 09:12:01.553,1307610721553000,5,4685,3
android-edittext,5056734,Android: Force EditText to remove focus?,440327,android|focus|android-edittext,2011-02-20 11:29:34.303,1298201374303000,6,4685,3
android-edittext,4233626,Allow multi-line in EditText view in Android?,434742,android|android-edittext|multiline,2010-11-20 16:03:37.877,1290269017877000,7,4685,3
android-edittext,13975528,How to hide underbar in EditText,394011,android|textview|android-edittext,2012-12-20 15:36:14.343,1356017774343000,8,4685,3
android-edittext,2763022,Android: How can I validate EditText input?,351067,android|android-edittext,2010-05-04 05:35:11.057,1272951311057000,9,4685,3
android-edittext,2403632,Android: show soft keyboard automatically when focus is on an EditText,347555,android|keyboard|android-edittext|soft-keyboard,2010-03-08 18:19:53.273,1268072393273000,10,4685,3
android-edittext,12947620,Email Address Validation in Android on EditText,345704,android|android-edittext|email-validation,2012-10-18 05:20:26.347,1350537626347000,11,4685,3
android-edittext,6217378,Place cursor at the end of text in EditText,344527,java|android|kotlin|android-edittext|keylistener,2011-06-02 16:32:42.680,1307032362680000,12,4685,3
android-edittext,3646415,How to create EditText with rounded corners?,343608,android|view|android-edittext|rounded-corners|android-shapedrawable,2010-09-05 14:34:23.860,1283697263860000,13,4685,3
android-edittext,4590957,How To Set Text In An EditText,340844,android|textview|android-edittext,2011-01-04 05:40:11.897,1294119611897000,14,4685,3
android-edittext,26574328,Changing EditText bottom line color with appcompat v7,325998,java|android|android-layout|android-edittext|android-styles,2014-10-26 14:56:37.983,1414335397983000,15,4685,3
android-edittext,3928711,How to make EditText not editable through XML in Android?,303795,android|android-edittext,2010-10-13 22:52:53.950,1287010373950000,16,4685,3
android-edittext,11134144,android edittext onchange listener,283025,android|android-edittext|textwatcher,2012-06-21 08:17:41.143,1340266661143000,17,4685,3
android-edittext,8991522,How can I set the focus (and display the keyboard) on my EditText programmatically,281352,android|focus|android-edittext,2012-01-24 17:45:29.457,1327427129457000,18,4685,3
android-edittext,30824009,Change EditText hint color when using TextInputLayout,277415,android|android-edittext|android-support-library|android-design-library|android-textattributes,2015-06-13 22:03:03.373,1434232983373000,19,4685,3
android-edittext,4645119,How do you set EditText to only accept numeric values in Android?,271141,android|android-edittext,2011-01-10 09:06:11.743,1294650371743000,20,4685,3
android-edittext,8035107,How to set cursor position in EditText?,264671,android|android-edittext,2011-11-07 10:21:41.697,1320661301697000,21,4685,3
android-edittext,17989733,Move to another EditText when Soft Keyboard Next is clicked on Android,257703,android|android-edittext,2013-08-01 09:08:41.540,1375348121540000,22,4685,3
android-edittext,2586301,Set inputType for an EditText Programmatically?,255282,android|android-edittext|android-inputtype,2010-04-06 16:02:29.207,1270569749207000,23,4685,3
android-edittext,2004344,How do I handle ImeOptions' done button click?,238420,android|android-edittext|ime,2010-01-05 05:31:04.533,1262669464533000,24,4685,3
android-edittext,30546430,How to change the floating label color of TextInputLayout,229589,android|android-edittext|android-design-library|android-textinputlayout,2015-05-30 12:52:36.227,1432990356227000,25,4685,3
android-edittext,8543449,How to use the TextWatcher class in Android?,204746,android|android-edittext|textwatcher,2011-12-17 07:53:15.150,1324108395150000,26,4685,3
android-edittext,6384004,Make EditText ReadOnly,198729,android|android-edittext,2011-06-17 09:44:53.847,1308303893847000,27,4685,3
android-edittext,6355096,How to create EditText with cross(x) button at end of it?,188861,android|android-edittext,2011-06-15 08:40:20.543,1308127220543000,28,4685,3
android-edittext,3349121,How do I use InputFilter to limit characters in an EditText in Android?,187249,android|android-edittext,2010-07-28 00:49:33.507,1280278173507000,29,4685,3
android-edittext,17449169,How to change style of a default EditText,185971,android|android-edittext,2013-07-03 13:20:43.317,1372857643317000,30,4685,3
android-edittext,4903515,How do I return an int from EditText? (Android),184298,java|android|android-edittext,2011-02-04 22:17:31.023,1296857851023000,31,4685,3
android-edittext,2712761,"EditText, inputType values (XML)",183311,android|layout|android-edittext|android-inputtype,2010-04-26 10:43:43.807,1272278623807000,32,4685,3
android-edittext,5618402,How to draw rounded rectangle in Android UI?,182492,android|android-edittext|textview,2011-04-11 07:58:39.783,1302508719783000,33,4685,3
android-edittext,1119583,How do I show the number keyboard on an EditText in android?,181350,android|keyboard|android-edittext,2009-07-13 13:55:52.297,1247493352297000,34,4685,3
android-edittext,2342620,how to hide keyboard after typing in EditText in android?,171508,android|android-edittext,2010-02-26 15:22:41.380,1267197761380000,35,4685,3
android-edittext,2359176,EditText onClickListener in Android,168988,android|android-edittext|onclicklistener,2010-03-01 21:26:03.493,1267478763493000,36,4685,3
android-edittext,8063439,android EditText - finished typing event,168774,android|android-edittext,2011-11-09 10:13:56.680,1320833636680000,37,4685,3
android-edittext,15961813,"In Android EditText, how to force writing uppercase?",167672,android|android-edittext|uppercase,2013-04-12 01:51:23.220,1365731483220000,38,4685,3
android-edittext,13135447,Setting onClickListener for the Drawable right of an EditText,166507,android|android-edittext,2012-10-30 08:49:31.513,1351586971513000,39,4685,3
android-edittext,8077755,EditText request focus,162261,android|android-layout|android-edittext,2011-11-10 10:02:18.630,1320919338630000,40,4685,3
android-edittext,13817521,How do you set the EditText keyboard to only consist of numbers on Android?,161963,android|android-layout|android-edittext,2012-12-11 09:46:53.893,1355219213893000,41,4685,3
android-edittext,10627137,How can I know when an EditText loses focus?,161004,android|android-edittext|lostfocus,2012-05-16 21:43:26.867,1337204606867000,42,4685,3
